"ReporterISO3","ProductCode","PartnerISO3","Year","TradeFlowCode","TradeValue in 1000 USD","ReporterName","PartnerName","TradeFlowName","NetWeight in KGM","Quantity","QtyUnit"
"CHN","6109","WLD",2015,6,9539784.373,"China"," World","Export",241202930,3159209350,"Item"
"CHN","6109","WLD",2016,4,34804.593,"China"," World","Re-Import",,7304670.895,"Item"
"CHN","6109","WLD",2016,5,556229.523,"China"," World","Import",19221329,116113781.621,"Item"
"CHN","6109","WLD",2016,6,8637540.007,"China"," World","Export",460811538,1800268505.55,"Item"
"CHN","6203","ASEAN",2015,5,127611.876,"China","Asia Tenggara --- ASEAN  ","Import",3440872,9286215,"Item"
"CHN","6203","ASEAN",2015,6,1216024.876,"China","Asia Tenggara --- ASEAN  ","Export",109130,221408821,"Item"
"CHN","6203","ASEAN",2016,5,132590.239,"China","Asia Tenggara --- ASEAN  ","Import",3721179,9274996.477,"Item"
"CHN","6203","ASEAN",2016,6,805844.896,"China","Asia Tenggara --- ASEAN  ","Export",60680290,46167534.212,"Item"
"CHN","6203","BRN",2015,6,4653.351,"China","Brunei","Export",109130,1067136,"Item"
"CHN","6203","BRN",2016,6,1831.582,"China","Brunei","Export",159235,107134.996,"Item"
"CHN","6203","IDN",2015,5,34308.139,"China","Indonesia","Import",1002742,2524416,"Item"
"CHN","6203","IDN",2015,6,134152.788,"China","Indonesia","Export",,23930498,"Item"
"CHN","6203","IDN",2016,5,26633.838,"China","Indonesia","Import",750594,1896791.545,"Item"
"CHN","6203","IDN",2016,6,40288.376,"China","Indonesia","Export",3774985,2129791.171,"Item"
"CHN","6203","KHM",2015,5,11671.272,"China","Cambodia","Import",349915,1214166,"Item"
"CHN","6203","KHM",2015,6,5798.355,"China","Cambodia","Export",,1277767,"Item"
"CHN","6203","KHM",2016,5,13061.163,"China","Cambodia","Import",451745,993111.231,"Item"
"CHN","6203","KHM",2016,6,3289.909,"China","Cambodia","Export",421556,196500.37,"Item"
"CHN","6203","LAO",2015,5,3.03,"China","Lao PDR","Import",75,111,"Item"
"CHN","6203","LAO",2015,6,192.942,"China","Lao PDR","Export",,22932,"Item"
"CHN","6203","LAO",2016,5,2.131,"China","Lao PDR","Import",50,70.705,"Item"
"CHN","6203","LAO",2016,6,288.569,"China","Lao PDR","Export",14217,16173.06,"Item"
"CHN","6203","MMR",2015,5,5752.348,"China","Myanmar","Import",164810,554598,"Item"
"CHN","6203","MMR",2015,6,1877.187,"China","Myanmar","Export",,176097,"Item"
"CHN","6203","MMR",2016,5,3411.169,"China","Myanmar","Import",138099,229149.555,"Item"
"CHN","6203","MMR",2016,6,2519.787,"China","Myanmar","Export",177757,128875.07,"Item"
